Date,High F,Low F,Finish %,1st place,Distance,Snow,River Crossing,year
2022-06-25,97,70,79.6,15:13,100.2,,,2022
2021-06-26,101,73,66.0,14:46,100.2,,,2021
2020-06-27,93,66,,,,,,2020
2019-06-29,83,57,86.4,14:09,100.2,moderate,boats,2019
2018-06-23,98,61,81.0,14:30,100.2,,,2018
2017-06-24,95,75,67.2,16:19,100.2,moderate,boats,2017
2016-06-25,93,60,79.3,15:39,100.2,,,2016
2015-06-27,91,73,68.5,14:48,100.2,,,2015
2014-06-28,89,59,78.7,14:53,100.2,,,2014
2013-06-29,102,73,72,15:17,100.2,,,2013
2012-06-23,71,51,82,14:46,100.2,,,2012
2011-06-25,82,60,82,15:34,100.2,Snow Route,boats,2011
2010-06-26,91,66,77.50,15:07,100.2,Snow Route,boats,2010
2009-06-27,99,61,59.60,16:24,100.2,,,2009
2008-06-28,87,69,,,,,,2008
2007-06-23,87,53,68.90,16:12,100.2,,,2007
2006-06-24,101,60,52.60,18:17,100.2,moderate,boats,2006
2005-06-25,78,51,79.30,16:40,100.2,moderate,boats,2005
2004-06-26,87,57,76.00,15:36,100.2,,,2004
2003-06-28,98,60,67.20,16:01,100.2,,,2003
2002-06-29,89,58,68.50,16:19,100.2,,,2002
2001-06-23,84,51,67.40,16:38,100.2,,,2001
2000-06-24,89,53,57.70,17:15,100.2,,,2000
1999-06-26,88,52,63.90,17:34,100.2,,,1999
1998-06-27,87,50,67.70,17:51,,Snow Route,boats,1998
1997-06-28,82,54,69.60,15:40,100.2,,,1997
1996-06-29,90,54,60.90,17:42,100.2,,,1996
1995-06-24,104,68,53.40,18:34,,Snow Route,boats,1995
1994-06-25,91,58,65.70,16:51,100.2,,,1994
1993-06-26,101,65,54.00,17:08,100.2,moderate,boats,1993
1992-06-27,82,57,61.50,16:54,100.2,,,1992
1991-06-29,66,52,65.80,15:54,100.2,,,1991
1990-06-23,87,52,59.30,16:38,100.2,,,1990
1989-06-24,84,58,66.10,16:53,100.2,,,1989
1988-06-25,88,61,73.30,16:24,100.2,,,1988
1987-06-27,98,54,51.80,17:41,100.2,,,1987
1986-06-28,88,60,50.60,16:37,100.2,,,1986
1985-07-06,98,73,55.40,16:02,100.2,,,1985
1984-07-07,101,68,67.80,14:54,93.5,,,1984
1983-06-25,89,54,69.50,16:07,,Snow Route,boats,1983
1982-06-26,84,57,63.30,16:17,93.5,,,1982
1981-06-27,97,58,58.20,16:02,93.5,,,1981
1980-06-28,94,57,49.40,18:35,93.5,moderate,boats,1980
1979-07-07,85,55,67.10,16:11,89,,,1979
1978-06-24,80,54,47.60,18:50,89,,,1978
1977-07-30,102,60,18.80,22:57,89,,,1977
1976-07-10,90,58,100.00,24:30:00,89,,,1976
1975-07-26,99,60,0.00,,89,,,1975
1974-08-03,92,61,100.00,23:42,89,,,1974
